Product ID,Product Name,Category,Current Stock,Reorder Point,Safety Stock,Daily Sales Rate,Unit Cost,Lead Time (days),Supplier Name
SKU-1001,Apex Wireless Earbuds,Electronics,0,140,42,8.21,43.86,12,VoltTech Solutions
SKU-1002,Quantum Smartwatch,Electronics,4,82,21,4.07,80.3,15,VoltTech Solutions
SKU-1003,Aura Bluetooth Speaker,Electronics,0,163,55,10.87,23.31,10,SoundWave Ltd
SKU-1004,Titan Power Bank 20k,Electronics,0,24,10,1.83,13.31,8,PowerUp Industries
SKU-1005,Nebula LED Projector,Electronics,0,171,35,6.81,128.06,20,OptiCore Systems
SKU-1006,Viper Gaming Mouse,Electronics,179,100,46,9.02,29.03,6,VoltTech Solutions
SKU-1007,Classic Denim Jeans,Apparel,32,119,32,6.22,27.58,14,Apex Loom Co
SKU-1008,Organic Cotton T-Shirt,Apparel,184,47,16,3.18,9.11,10,Apex Loom Co
SKU-1009,Thermal Hooded Jacket,Apparel,32,97,19,3.76,37.67,21,Vanguard Apparel
SKU-1010,Activewear Running Shoes,Apparel,29,50,13,2.52,61.76,15,AeroStride Gear
SKU-1011,Breathe-Fit Socks (5-pack),Apparel,135,110,46,9.16,8.92,7,Apex Loom Co
SKU-1012,Sleek Leather Belt,Apparel,129,82,28,5.47,19.81,10,Vanguard Apparel
SKU-1013,Elite Drip Coffee Maker,Home & Kitchen,113,135,40,7.99,39.44,12,BrewMaster Appliance
SKU-1014,Rapid Air Fryer 5.5L,Home & Kitchen,76,52,12,2.23,66.55,18,BrewMaster Appliance
SKU-1015,Pro-Series Chef Knife Set,Home & Kitchen,56,356,60,11.84,63.03,25,Krupp Cutlery
SKU-1016,PowerBlender 1200W,Home & Kitchen,130,67,23,4.42,37.83,10,AquaFlow Corp
SKU-1017,RoboVac Smart Vacuum,Home & Kitchen,22,134,27,5.39,136.01,20,Cleansy Ltd
SKU-1018,Ceramic Dinnerware (16pc),Home & Kitchen,254,226,57,11.33,36.52,15,Krupp Cutlery
SKU-1019,HydraGlow Face Moisturizer,Beauty & Personal Care,68,43,17,3.3,10.38,8,Lumina Cosmetics
SKU-1020,UV-Shield Sunscreen SPF 50,Beauty & Personal Care,163,82,28,5.48,8.21,10,Lumina Cosmetics
SKU-1021,Keratin Repair Shampoo,Beauty & Personal Care,0,54,25,4.9,7.13,6,Natura Essence
SKU-1022,Velvet Matte Lipstick,Beauty & Personal Care,16,24,10,1.84,9.98,8,Lumina Cosmetics
SKU-1023,Anti-Aging Retinol Serum,Beauty & Personal Care,118,63,19,3.72,20.83,12,Natura Essence
SKU-1024,Gentle Foaming Face Wash,Beauty & Personal Care,464,100,42,8.38,6.39,7,Natura Essence
SKU-1025,A5 Bullet Journal (Hardcover),Office Supplies,18,43,22,4.28,7.61,5,PaperCraft Press
SKU-1026,Ergonomic Mesh Office Chair,Office Supplies,1248,280,47,9.34,94.48,25,SteelForm Furniture
SKU-1027,Dual-Tip Brush Pens (24-set),Office Supplies,33,143,60,11.97,12.46,7,PaperCraft Press
SKU-1028,Acrylic Desk Organizer,Office Supplies,0,123,48,9.44,7.75,8,ClearView Plastics
SKU-1029,Magnetic Desktop Whiteboard,Office Supplies,91,54,16,3.18,18.17,12,ClearView Plastics
SKU-1030,Premium Heavy Duty Stapler,Office Supplies,100,61,28,5.54,8.35,6,SteelForm Furniture
